Student;ID;SIS User ID;SIS Login ID;Section;Part 1: Multiple choice questions - January 2024 (Remotely Proctored) (473819);Part 2: Practice - January 2024 _ CORRECT VERSION(Remotely Proctored) (475074);Chaptertests Current Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Current Points (Zittijd januari en juni AJ 2023-2024);Final Points (Zittijd januari en juni AJ 2023-2024);Current Score (Zittijd januari en juni AJ 2023-2024);Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Final Score (Zittijd januari en juni AJ 2023-2024);Unposted Final Score (Zittijd januari en juni AJ 2023-2024)
LastName, FirstName 141;263;S_r00263;S_r00263@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);18.80;5.50;8.00;N/A;5.50;3.50;12.00;1.00;37.00;6.00;4.00;8.18;6.67;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 142;264;S_r00264;S_r00264@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;3.33;N/A;1.00;;10.00;1.00;12.66;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 143;265;S_r00265;S_r00265@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);13.13;2.75;5.33;N/A;5.50;3.50;13.00;1.00;21.50;5.00;3.00;;4.44;4.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 144;266;S_r00266;S_r00266@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);22.53;9.50;9.67;N/A;6.00;10.00;9.00;1.00;30.50;7.00;7.00;10.00;5.56;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 145;267;S_r00267;S_r00267@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);12.97;2.75;10.33;N/A;6.00;2.50;14.00;1.00;21.25;9.00;4.00;5.45;0.00;6.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 146;268;S_r00268;S_r00268@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);22.40;1.25;6.67;N/A;5.00;7.00;13.00;1.00;24.33;7.00;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 147;269;S_r00269;S_r00269@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);5.90;0.00;4.00;N/A;;1.00;;1.00;8.75;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 148;270;S_r00270;S_r00270@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);6.43;0.00;4.00;N/A;3.50;5.00;10.00;1.00;23.75;2.00;;3.64;;4.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 149;271;S_r00271;S_r00271@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);5.76;0.00;4.50;N/A;5.50;8.50;2.00;;;4.00;1.00;0.91;;1.00;1.00;;9.49;1.00;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 150;272;S_r00272;S_r00272@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 151;273;S_r00273;S_r00273@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);15.70;2.50;11.33;N/A;6.00;5.50;14.00;1.00;22.50;10.00;5.00;10.00;10.00;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 152;274;S_r00274;S_r00274@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);21.37;9.50;12.00;N/A;0.50;;10.00;1.00;34.75;10.00;7.00;5.45;6.67;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 153;275;S_r00275;S_r00275@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);19.43;7.50;12.00;N/A;6.00;11.00;15.00;1.00;40.00;10.00;8.00;10.00;10.00;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 154;276;S_r00276;S_r00276@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);13.46;4.00;;N/A;;0.00;;1.00;26.25;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 155;277;S_r00277;S_r00277@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);20.37;4.75;11.33;N/A;5.50;7.00;14.00;1.00;22.08;8.00;6.00;9.09;6.67;6.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 156;278;S_r00278;S_r00278@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);14.15;0.00;3.00;N/A;3.50;11.00;;1.00;28.50;5.00;7.00;0.00;8.89;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 157;279;S_r00279;S_r00279@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;10.00;N/A;4.00;3.00;11.00;1.00;26.50;4.00;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 158;280;S_r00280;S_r00280@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;;N/A;3.50;;14.00;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 159;281;S_r00281;S_r00281@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);13.77;0.75;11.33;N/A;6.00;7.00;14.00;1.00;30.66;9.00;7.00;9.09;10.00;4.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 160;282;S_r00282;S_r00282@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);12.73;0.00;11.33;N/A;;4.00;;1.00;30.00;8.00;8.00;9.09;;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 161;283;S_r00283;S_r00283@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF04 (Z62903);19.00;2.00;5.33;N/A;6.00;8.00;;1.00;24.00;4.00;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 162;284;S_r00284;S_r00284@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);12.60;0.00;11.00;N/A;5.00;9.00;15.00;1.00;22.50;4.00;5.00;;3.33;7.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 163;285;S_r00285;S_r00285@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);12.27;4.50;;N/A;;;;1.00;31.00;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 164;286;S_r00286;S_r00286@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);22.74;1.00;10.00;N/A;4.00;8.00;11.00;1.00;23.83;7.00;4.00;6.36;4.44;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 165;287;S_r00287;S_r00287@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF04 (Z62903);26.00;6.00;11.33;N/A;6.00;11.00;15.00;1.00;38.00;10.00;7.00;7.27;7.78;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 166;288;S_r00288;S_r00288@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);13.03;1.00;5.33;N/A;5.50;6.00;;1.00;22.50;;2.00;5.45;;7.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 167;289;S_r00289;S_r00289@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);18.53;3.75;5.83;N/A;5.00;0.50;13.00;1.00;26.00;6.00;5.00;6.36;6.67;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 168;290;S_r00290;S_r00290@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 169;291;S_r00291;S_r00291@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);22.27;2.00;11.33;N/A;5.00;4.00;15.00;1.00;34.00;9.00;8.00;5.45;7.78;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 170;292;S_r00292;S_r00292@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 171;293;S_r00293;S_r00293@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);15.93;3.50;11.33;N/A;6.00;9.50;15.00;1.00;35.00;7.00;7.00;10.00;7.78;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 172;294;S_r00294;S_r00294@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);2.63;0.00;12.00;N/A;6.00;10.00;15.00;1.00;6.00;8.00;5.00;;10.00;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 173;295;S_r00295;S_r00295@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);14.23;2.50;3.00;N/A;;9.50;;1.00;23.50;;1.00;;;5.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 174;296;S_r00296;S_r00296@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;;N/A;;;;1.00;14.00;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 175;297;S_r00297;S_r00297@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);27.83;9.50;5.33;N/A;;8.00;;1.00;36.00;7.00;4.00;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 176;298;S_r00298;S_r00298@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);15.24;4.75;2.00;N/A;5.50;6.00;9.00;1.00;30.00;4.00;4.00;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 177;299;S_r00299;S_r00299@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);;;10.33;N/A;6.00;7.00;14.00;1.00;17.42;;;;;3.00;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 178;300;S_r00300;S_r00300@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);14.90;2.75;7.17;N/A;5.50;1.50;13.00;1.00;24.25;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 179;301;S_r00301;S_r00301@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);3.30;0.50;3.00;N/A;;1.50;;1.00;21.33;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 180;302;S_r00302;S_r00302@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;1.00;3.75;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 181;303;S_r00303;S_r00303@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);8.07;3.50;9.00;N/A;4.50;1.00;11.00;1.00;33.00;;0.00;;;1.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 182;304;S_r00304;S_r00304@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;1.00;13.50;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 183;305;S_r00305;S_r00305@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);21.37;2.75;6.67;N/A;6.00;10.00;14.00;1.00;28.50;8.00;6.00;10.00;4.44;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 184;306;S_r00306;S_r00306@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);15.53;3.00;6.00;N/A;6.00;3.50;;1.00;23.50;4.00;;8.18;5.56;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 185;307;S_r00307;S_r00307@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);18.87;4.75;11.67;N/A;6.00;11.00;15.00;1.00;34.83;8.00;3.00;;4.44;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 186;308;S_r00308;S_r00308@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);9.10;1.75;3.00;N/A;5.50;6.00;;1.00;34.00;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 187;309;S_r00309;S_r00309@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);24.17;5.75;5.67;N/A;5.00;7.50;10.00;1.00;33.00;5.00;6.00;8.18;5.56;7.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 188;310;S_r00310;S_r00310@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);8.93;0.25;6.33;N/A;6.00;9.50;15.00;1.00;15.25;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 189;311;S_r00311;S_r00311@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);15.23;3.25;10.33;N/A;6.00;5.00;13.00;1.00;30.50;4.00;7.00;8.18;;5.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 190;312;S_r00312;S_r00312@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);24.67;4.75;5.00;N/A;6.00;3.00;12.00;1.00;36.25;6.00;4.00;4.55;8.89;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 191;313;S_r00313;S_r00313@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);14.40;1.50;;N/A;;;;1.00;17.00;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 192;314;S_r00314;S_r00314@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);19.03;10.00;10.67;N/A;6.00;11.00;12.00;1.00;34.50;6.00;4.00;7.27;8.89;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 193;315;S_r00315;S_r00315@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);21.37;0.75;5.00;N/A;5.00;8.00;14.00;1.00;32.75;6.00;4.00;7.27;6.67;6.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 194;316;S_r00316;S_r00316@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);20.67;10.00;11.67;N/A;6.00;9.00;13.00;1.00;50.75;10.00;4.00;9.09;8.89;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 195;317;S_r00317;S_r00317@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);19.37;6.00;8.67;N/A;6.00;7.00;13.00;1.00;42.25;8.00;4.00;3.64;5.56;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 196;318;S_r00318;S_r00318@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);16.03;0.25;9.33;N/A;6.00;4.00;13.00;1.00;29.50;3.00;;7.27;8.89;7.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 197;319;S_r00319;S_r00319@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);;;;N/A;;;;1.00;31.00;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 198;320;S_r00320;S_r00320@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);17.00;5.50;7.33;N/A;6.00;8.00;;1.00;47.50;9.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 199;321;S_r00321;S_r00321@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);21.53;6.85;4.50;N/A;6.00;12.00;15.00;1.00;32.75;;;;;3.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 200;322;S_r00322;S_r00322@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF04 (Z62903);14.23;3.50;11.33;N/A;5.50;5.00;14.00;1.00;15.00;3.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 201;323;S_r00323;S_r00323@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);24.20;7.10;8.33;N/A;6.00;6.50;10.00;1.00;42.50;4.00;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 202;324;S_r00324;S_r00324@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);11.73;3.50;7.83;N/A;6.00;11.00;9.00;1.00;23.50;8.00;7.00;9.09;10.00;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 203;325;S_r00325;S_r00325@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);16.57;5.50;5.67;N/A;5.00;3.00;11.00;1.00;22.50;;;;;5.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 204;326;S_r00326;S_r00326@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);7.57;0.00;6.67;N/A;6.00;;15.00;1.00;10.50;;;;;5.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 205;327;S_r00327;S_r00327@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);4.10;0.00;7.50;N/A;6.00;7.00;12.00;1.00;14.25;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 206;328;S_r00328;S_r00328@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);24.20;9.25;8.33;N/A;6.00;10.00;;1.00;40.00;6.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 207;329;S_r00329;S_r00329@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);23.54;10.00;8.83;N/A;5.00;11.00;13.00;1.00;39.00;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 208;330;S_r00330;S_r00330@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 209;331;S_r00331;S_r00331@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);19.03;5.25;8.00;N/A;6.00;4.00;12.00;1.00;23.33;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 210;332;S_r00332;S_r00332@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);17.00;9.50;7.67;N/A;6.00;11.00;12.00;1.00;30.83;5.00;3.00;3.64;4.44;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 211;333;S_r00333;S_r00333@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);9.13;0.25;4.33;N/A;6.00;8.00;;1.00;20.50;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 212;334;S_r00334;S_r00334@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);6.93;1.25;5.50;N/A;5.00;3.00;14.00;1.00;26.50;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 213;335;S_r00335;S_r00335@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);28.00;0.50;11.00;N/A;6.00;8.00;14.00;1.00;37.50;8.00;6.00;7.27;5.56;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 214;336;S_r00336;S_r00336@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);18.53;0.50;11.33;N/A;6.00;11.00;15.00;1.00;32.25;10.00;7.00;10.00;10.00;7.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 215;337;S_r00337;S_r00337@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);21.57;10.00;7.67;N/A;5.00;4.00;14.00;1.00;43.50;7.00;5.00;;;5.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
